ticket_id,date_submitted,customer_id,category,subcategory,priority,status,agent_assigned,resolution_time_hours,satisfaction_score,ticket_description,resolution_notes
TKT-001,2024-01-03,CUST-4421,Model Output,Hallucination,High,Resolved,Sarah J.,4.5,3,"Model is giving completely wrong answers about our product inventory. It's saying we have items in stock that we discontinued 6 months ago.",Refreshed knowledge base with updated product catalogue. Customer advised to implement periodic retraining schedule.
TKT-002,2024-01-04,CUST-2891,Integration,API Timeout,,Resolved,Marcus T.,2.0,5,"API calls timing out after 30 seconds when processing large batches","Increased timeout limit. Recommended async processing for batches >100 items."
TKT-003,2024-01-04,CUST-3310,Billing,Overage Charges,Low,Resolved,Priya K.,1.0,4,Being charged for API calls that returned errors. Shouldn't be billed for failed calls.,Credits applied. Bug escalated to billing team.
TKT-004,2024-01-05,CUST-4421,Model Output,Inconsistency,High,Resolved,Sarah J.,6.0,2,"Same question asked twice gets two different answers. This is unacceptable for our compliance use case. We need deterministic outputs.",Explained temperature settings. Customer set temp=0 but flagged that determinism not fully guaranteed at scale. Escalated to product team.
TKT-005,2024-01-07,CUST-1155,Performance,Latency,Medium,Resolved,Marcus T.,3.5,4,Response times have doubled in the last week without any changes on our end,,
TKT-006,2024-01-08,CUST-5502,,API Error,,Open,,,,"Getting 429 errors constantly. We're well within our rate limits according to our dashboard.",
TKT-007,2024-01-08,CUST-2234,Model Output,Bias,High,Escalated,Priya K.,,"Model responses show different behaviour depending on whether names in prompts appear to be male or female. This is a serious issue for our HR application.",Confirmed bias patterns in testing. Escalated to model team. Customer offered interim mitigation strategies.
TKT-008,2024-01-09,CUST-6671,Integration,Webhook,Low,Resolved,Tom W.,1.5,5,Webhooks not firing when job completes,Missing trailing slash in endpoint URL. Customer updated config.
TKT-009,2024-01-10,CUST-3310,Model Output,Hallucination,High,Resolved,Sarah J.,8.0,1,"Model is confidently citing sources that don't exist. Our legal team is furious. We deployed this for contract review and it fabricated three case references.",Added explicit instructions to only cite provided documents. Recommended retrieval-augmented approach. Customer very unhappy with initial deployment guidance.
TKT-010,2024-01-10,CUST-4892,Billing,,Low,Resolved,Priya K.,0.5,5,How do I download my invoice?,Sent invoice download instructions.
TKT-011,2024-01-11,CUST-1155,Performance,Latency,Medium,Resolved,Marcus T.,2.0,4,Latency issue from TKT-005 returned. Getting 8-12 second response times.,Identified peak load period. Suggested off-peak scheduling for batch jobs. Monitoring added.
TKT-012,2024-01-11,CUST-7743,Model Output,Context Window,,Resolved,Tom W.,3.0,3,"Model seems to forget earlier parts of long conversations. By message 15-20 it's lost context from the beginning.",Explained context window limits. Recommended conversation summarisation pattern.
TKT-013,2024-01-14,CUST-2891,Integration,Authentication,High,Resolved,Sarah J.,1.0,5,API keys stopped working after we rotated them,Key rotation process explained. New keys working.
TKT-014,2024-01-14,CUST-8801,Model Output,Hallucination,,Open,,,,Model making up customer names and order numbers in our CRM integration.,
TKT-015,2024-01-15,CUST-5502,Performance,Throughput,Medium,Resolved,Marcus T.,4.0,3,"Need to process 10,000 documents per hour but max we can get is 3,200","Explained parallelisation options. Customer needs to upgrade plan for higher concurrency limits."
TKT-016,2024-01-15,CUST-3344,Integration,API Error,Low,Resolved,Priya K.,0.5,5,Getting malformed JSON responses occasionally,Edge case in response parsing identified. Workaround provided.
TKT-017,2024-01-16,CUST-4421,Safety,Content Filter,High,Escalated,Tom W.,,"Our compliance queries are being blocked by content filters. We're a regulated financial institution and need to discuss sensitive but legal topics without constant blocks.",Filters flagging legitimate compliance language. Escalated for custom filter configuration. Enterprise agreement required.
TKT-018,2024-01-17,CUST-9921,Onboarding,Setup,,Resolved,Sarah J.,2.0,4,Not sure how to structure prompts for best results. Documentation is confusing.,Provided prompt engineering guide and examples relevant to customer use case.
TKT-019,2024-01-18,CUST-1155,Model Output,Inconsistency,High,Open,,,,"Third time reporting response inconsistency. Previous tickets TKT-005 and TKT-011. Temperature is set to 0. This is now a blocker for our production deployment.",
TKT-020,2024-01-18,CUST-6671,Billing,Pricing,Low,Resolved,Marcus T.,1.0,4,Can you explain the difference between the Pro and Enterprise plans?,Plan comparison sent.
TKT-021,2024-01-21,CUST-2234,Model Output,Bias,High,Open,,,,Follow up to TKT-007. Two weeks later and no update. This bias issue is causing real harm in our product. We need an ETA on the fix.,
TKT-022,2024-01-21,CUST-4892,Integration,Data Format,,Resolved,Priya K.,2.5,4,"Output sometimes in markdown, sometimes plain text, inconsistent.",Prompt updated to specify output format explicitly.
TKT-023,2024-01-22,CUST-7743,Performance,Latency,Medium,Resolved,Tom W.,3.0,3,Slow responses again. Averaging 15 seconds.,Load balancing issue identified on infrastructure side. Resolved.
TKT-024,2024-01-22,CUST-3310,Model Output,Hallucination,High,Open,,,,Model hallucinations continuing despite changes from TKT-009. Three weeks and this is still happening in production. We are considering switching providers.,
TKT-025,2024-01-23,CUST-5502,Integration,API Timeout,,Resolved,Sarah J.,2.0,4,Timeouts on large payloads,Payload chunking strategy provided.
TKT-026,2024-01-24,CUST-8801,Model Output,Hallucination,High,Open,,,,Still no resolution on TKT-014. Customer escalating to account manager.,
TKT-027,2024-01-24,CUST-1122,Onboarding,setup,Low,Resolved,Marcus T.,1.5,5,How do I get started with fine tuning?,Fine-tuning documentation and quickstart guide sent.
TKT-028,2024-01-25,CUST-9921,Model Output,Quality,Medium,Resolved,Priya K.,4.0,3,"Outputs are technically correct but very verbose. Customers on our platform are complaining the answers are too long and hard to read.","Prompt engineering session booked. Added max_tokens and explicit brevity instruction."
TKT-029,2024-01-28,CUST-4421,Safety,Content Filter,High,Open,,,,Second escalation on content filtering (see TKT-017). Enterprise agreement still in review. This is taking too long.,
TKT-030,2024-01-28,CUST-6671,Model Output,Inconsistency,,Resolved,Tom W.,2.5,4,Different output formats from same prompt on different days.,Version pinning explained and implemented.
TKT-031,2024-01-29,CUST-3344,Performance,Throughput,Medium,Resolved,Sarah J.,3.0,4,Seeing performance degrade as document length increases,Context length impact explained. Chunking strategy recommended.
TKT-032,2024-01-29,CUST-2891,Billing,Disputed Charge,,Resolved,Marcus T.,2.0,3,Charged for a month we didn't use the service. We paused our subscription.,Credit issued. Pause functionality clarified.
TKT-033,2024-01-30,CUST-7743,Integration,,Low,Resolved,Priya K.,1.0,5,Python SDK throwing deprecation warnings,Updated to latest SDK version.
TKT-034,2024-01-30,CUST-1155,Model Output,Inconsistency,High,Escalated,Tom W.,,"FOURTH report of inconsistency issue (TKT-005, TKT-011, TKT-019). Customer threatening to cancel. Need engineering review urgently.",
TKT-035,2024-01-31,CUST-5502,Model Output,Hallucination,High,Open,,,,Model generating fictional customer reviews for our e-commerce platform. This is going live next week.,
TKT-036,2024-02-01,CUST-4892,Integration,Webhooks,,Resolved,Sarah J.,1.5,5,Need to set up real time notifications when batch processing completes,Webhook setup walkthrough provided.
TKT-037,2024-02-01,CUST-2234,Model Output,Bias,Critical,Escalated,Marcus T.,,"Bias issue from TKT-007 and TKT-021. Customer has now received formal complaints from their end users. Legal involvement. Three weeks with no meaningful resolution.",
TKT-038,2024-02-03,CUST-8801,Performance,Latency,,Open,,,,Response times now 20+ seconds. Completely unusable.,
TKT-039,2024-02-04,CUST-3310,Account,Cancellation,High,Open,,,,We are cancelling our subscription (ref TKT-009 TKT-024). Please process cancellation and arrange data export.,
TKT-040,2024-02-04,CUST-9921,Model Output,Quality,Low,Resolved,Priya K.,2.0,4,Can the model respond in different tones depending on context (formal vs casual)?,"Yes, demonstrated tone control via system prompt configuration."
TKT-041,2024-02-05,CUST-1122,Integration,Authentication,,Resolved,Tom W.,1.0,5,How do I implement API key rotation securely?,Security best practices guide provided.
TKT-042,2024-02-05,CUST-6671,Model Output,Hallucination,Medium,Resolved,Sarah J.,5.0,2,"Model listing features our product doesn't have when users ask about capabilities. Very embarrassing in demos.",System prompt updated to restrict scope to documented features only. Knowledge base grounding recommended.
TKT-043,2024-02-06,CUST-7743,Billing,Overage,,Resolved,Marcus T.,1.0,4,Unexpected overage charges this month. Usage looked normal to us.,Usage breakdown provided. Explained token counting includes both input and output.
TKT-044,2024-02-07,CUST-4421,Safety,Content Filter,High,Open,,,,TKT-017 TKT-029. Enterprise agreement signed 2 weeks ago. Filters still not configured. This has been open 3 weeks.,
TKT-045,2024-02-07,CUST-5502,Model Output,Hallucination,High,Open,,,,TKT-035 follow up. Customer went live. Now live with hallucination bug.,
TKT-046,2024-02-10,CUST-3344,Model Output,Quality,,Resolved,Priya K.,3.5,4,Output quality drops significantly for non-English text especially for our German customers,Multilingual prompt strategies provided. Known limitation for some specialised domains documented.
TKT-047,2024-02-10,CUST-2891,Integration,API Error,Medium,Resolved,Tom W.,2.0,5,Intermittent 500 errors about twice a day,Identified and fixed upstream service issue.
TKT-048,2024-02-11,CUST-1155,Model Output,Inconsistency,Critical,Escalated,Sarah J.,,"Fifth report. TKT-005 TKT-011 TKT-019 TKT-034. Customer has been patient but has now issued formal complaint and is requesting SLA compensation.",
TKT-049,2024-02-12,CUST-8801,Performance,Latency,High,Open,,,,Latency from TKT-038 getting worse. Now 30+ seconds. No response to previous ticket.,
TKT-050,2024-02-12,CUST-9921,Onboarding,Training,,Resolved,Marcus T.,2.0,5,Can you do a training session for our new team members?,Training session booked for following week.
